time,hr,hr_norm
1673965447.459,96.0,-0.08571428571428572
1673965448.459,96.0,-0.08571428571428572
1673965449.459,97.0,-0.0761904761904762
1673965450.459,97.0,-0.0761904761904762
1673965451.459,97.0,-0.0761904761904762
1673965452.459,97.0,-0.0761904761904762
1673965453.459,97.0,-0.0761904761904762
1673965454.459,98.0,-0.06666666666666667
1673965455.459,98.0,-0.06666666666666667
1673965456.459,98.0,-0.06666666666666667
1673965457.459,98.0,-0.06666666666666667
1673965458.459,98.0,-0.06666666666666667
1673965459.459,98.0,-0.06666666666666667
1673965460.459,98.0,-0.06666666666666667
1673965461.459,99.0,-0.05714285714285714
1673965462.459,99.0,-0.05714285714285714
1673965463.459,99.0,-0.05714285714285714
1673965464.459,100.0,-0.047619047619047616
1673965465.459,101.0,-0.0380952380952381
1673965466.459,102.0,-0.02857142857142857
1673965467.459,103.0,-0.01904761904761905
1673965468.459,103.0,-0.01904761904761905
1673965469.459,104.0,-0.009523809523809525
1673965470.459,104.0,-0.009523809523809525
1673965471.459,104.0,-0.009523809523809525
1673965472.459,105.0,0.0
1673965473.459,105.0,0.0
1673965474.459,105.0,0.0
1673965475.459,105.0,0.0
1673965476.459,105.0,0.0
1673965477.459,105.0,0.0
1673965478.459,105.0,0.0
1673965479.459,104.0,-0.009523809523809525
1673965480.459,105.0,0.0
1673965481.459,105.0,0.0
1673965482.459,105.0,0.0
1673965483.459,105.0,0.0
1673965484.459,105.0,0.0
1673965485.459,105.0,0.0
1673965486.459,104.0,-0.009523809523809525
1673965487.459,103.0,-0.01904761904761905
1673965488.459,102.0,-0.02857142857142857
1673965489.459,101.0,-0.0380952380952381
1673965490.459,100.0,-0.047619047619047616
1673965491.459,99.0,-0.05714285714285714
1673965492.459,98.0,-0.06666666666666667
1673965493.459,97.0,-0.0761904761904762
1673965494.459,96.0,-0.08571428571428572
1673965495.459,96.0,-0.08571428571428572
1673965496.459,95.0,-0.09523809523809523
1673965497.459,95.0,-0.09523809523809523
1673965498.459,95.0,-0.09523809523809523
1673965499.459,95.0,-0.09523809523809523
1673965500.459,96.0,-0.08571428571428572
1673965501.459,96.0,-0.08571428571428572
1673965502.459,96.0,-0.08571428571428572
1673965503.459,96.0,-0.08571428571428572
1673965504.459,96.0,-0.08571428571428572
1673965505.459,97.0,-0.0761904761904762
1673965506.459,97.0,-0.0761904761904762
1673965507.459,97.0,-0.0761904761904762
1673965508.459,97.0,-0.0761904761904762
1673965509.459,97.0,-0.0761904761904762
1673965510.459,97.0,-0.0761904761904762
1673965511.459,96.0,-0.08571428571428572
1673965512.459,96.0,-0.08571428571428572
1673965513.459,96.0,-0.08571428571428572
1673965514.459,96.0,-0.08571428571428572
1673965515.459,96.0,-0.08571428571428572
1673965516.459,95.0,-0.09523809523809523
1673965517.459,95.0,-0.09523809523809523
1673965518.459,95.0,-0.09523809523809523
1673965519.459,96.0,-0.08571428571428572
1673965520.459,96.0,-0.08571428571428572
1673965521.459,96.0,-0.08571428571428572
1673965522.459,97.0,-0.0761904761904762
1673965523.459,97.0,-0.0761904761904762
1673965524.459,97.0,-0.0761904761904762
1673965525.459,98.0,-0.06666666666666667
1673965526.459,98.0,-0.06666666666666667
1673965527.459,98.0,-0.06666666666666667
1673965528.459,99.0,-0.05714285714285714
1673965529.459,99.0,-0.05714285714285714
1673965530.459,99.0,-0.05714285714285714
1673965531.459,99.0,-0.05714285714285714
1673965532.459,100.0,-0.047619047619047616
1673965533.459,100.0,-0.047619047619047616
1673965534.459,100.0,-0.047619047619047616
1673965535.459,100.0,-0.047619047619047616
1673965536.459,100.0,-0.047619047619047616
1673965537.459,100.0,-0.047619047619047616
1673965538.459,100.0,-0.047619047619047616
1673965539.459,100.0,-0.047619047619047616
1673965540.459,99.0,-0.05714285714285714
1673965541.459,99.0,-0.05714285714285714
1673965542.459,100.0,-0.047619047619047616
1673965543.459,100.0,-0.047619047619047616
1673965544.459,100.0,-0.047619047619047616
1673965545.459,101.0,-0.0380952380952381
1673965546.459,101.0,-0.0380952380952381
1673965547.459,101.0,-0.0380952380952381
1673965548.459,101.0,-0.0380952380952381
1673965549.459,102.0,-0.02857142857142857
1673965550.459,102.0,-0.02857142857142857
1673965551.459,102.0,-0.02857142857142857
1673965552.459,102.0,-0.02857142857142857
1673965553.459,102.0,-0.02857142857142857
1673965554.459,103.0,-0.01904761904761905
1673965555.459,103.0,-0.01904761904761905
1673965556.459,103.0,-0.01904761904761905
1673965557.459,103.0,-0.01904761904761905
1673965558.459,103.0,-0.01904761904761905
1673965559.459,103.0,-0.01904761904761905
1673965560.459,103.0,-0.01904761904761905
1673965561.459,103.0,-0.01904761904761905
1673965562.459,103.0,-0.01904761904761905
1673965563.459,103.0,-0.01904761904761905
1673965564.459,103.0,-0.01904761904761905
1673965565.459,103.0,-0.01904761904761905
1673965566.459,104.0,-0.009523809523809525
1673965567.459,104.0,-0.009523809523809525
1673965568.459,103.0,-0.01904761904761905
1673965569.459,103.0,-0.01904761904761905
1673965570.459,103.0,-0.01904761904761905
1673965571.459,102.0,-0.02857142857142857
1673965572.459,102.0,-0.02857142857142857
1673965573.459,101.0,-0.0380952380952381
1673965574.459,100.0,-0.047619047619047616
1673965575.459,100.0,-0.047619047619047616
1673965576.459,99.0,-0.05714285714285714
1673965577.459,99.0,-0.05714285714285714
1673965578.459,99.0,-0.05714285714285714
1673965579.459,98.0,-0.06666666666666667
1673965580.459,98.0,-0.06666666666666667
1673965581.459,98.0,-0.06666666666666667
1673965582.459,98.0,-0.06666666666666667
1673965583.459,97.0,-0.0761904761904762
1673965584.459,97.0,-0.0761904761904762
1673965585.459,97.0,-0.0761904761904762
1673965586.459,97.0,-0.0761904761904762
1673965587.459,97.0,-0.0761904761904762
1673965588.459,97.0,-0.0761904761904762
1673965589.459,97.0,-0.0761904761904762
1673965590.459,97.0,-0.0761904761904762
1673965591.459,98.0,-0.06666666666666667
1673965592.459,98.0,-0.06666666666666667
1673965593.459,98.0,-0.06666666666666667
1673965594.459,98.0,-0.06666666666666667
1673965595.459,98.0,-0.06666666666666667
1673965596.459,98.0,-0.06666666666666667
1673965597.459,98.0,-0.06666666666666667
1673965598.459,98.0,-0.06666666666666667
1673965599.459,97.0,-0.0761904761904762
1673965600.459,97.0,-0.0761904761904762
1673965601.459,97.0,-0.0761904761904762
1673965602.459,97.0,-0.0761904761904762
1673965603.459,97.0,-0.0761904761904762
1673965604.459,98.0,-0.06666666666666667
1673965605.459,98.0,-0.06666666666666667
1673965606.459,98.0,-0.06666666666666667
1673965607.459,98.0,-0.06666666666666667
1673965608.459,99.0,-0.05714285714285714
1673965609.459,99.0,-0.05714285714285714
1673965610.459,99.0,-0.05714285714285714
1673965611.459,99.0,-0.05714285714285714
1673965612.459,99.0,-0.05714285714285714
1673965613.459,100.0,-0.047619047619047616
1673965614.459,100.0,-0.047619047619047616
1673965615.459,100.0,-0.047619047619047616
1673965616.459,100.0,-0.047619047619047616
1673965617.459,100.0,-0.047619047619047616
1673965618.459,100.0,-0.047619047619047616
1673965619.459,100.0,-0.047619047619047616
1673965620.459,99.0,-0.05714285714285714
1673965621.459,99.0,-0.05714285714285714
1673965622.459,99.0,-0.05714285714285714
1673965623.459,99.0,-0.05714285714285714
1673965624.459,99.0,-0.05714285714285714
1673965625.459,99.0,-0.05714285714285714
1673965626.459,99.0,-0.05714285714285714
1673965627.459,99.0,-0.05714285714285714
1673965628.459,100.0,-0.047619047619047616
1673965629.459,100.0,-0.047619047619047616
1673965630.459,100.0,-0.047619047619047616
1673965631.459,100.0,-0.047619047619047616
1673965632.459,100.0,-0.047619047619047616
1673965633.459,101.0,-0.0380952380952381
1673965634.459,101.0,-0.0380952380952381
1673965635.459,101.0,-0.0380952380952381
1673965636.459,101.0,-0.0380952380952381
1673965637.459,101.0,-0.0380952380952381
1673965638.459,101.0,-0.0380952380952381
1673965639.459,101.0,-0.0380952380952381
1673965640.459,102.0,-0.02857142857142857
1673965641.459,102.0,-0.02857142857142857
1673965642.459,103.0,-0.01904761904761905
1673965643.459,104.0,-0.009523809523809525
1673965644.459,105.0,0.0
1673965645.459,105.0,0.0
1673965646.459,106.0,0.009523809523809525
1673965647.459,107.0,0.01904761904761905
1673965648.459,107.0,0.01904761904761905
1673965649.459,107.0,0.01904761904761905
1673965650.459,107.0,0.01904761904761905
1673965651.459,107.0,0.01904761904761905
1673965652.459,106.0,0.009523809523809525
1673965653.459,106.0,0.009523809523809525
1673965654.459,105.0,0.0
1673965655.459,104.0,-0.009523809523809525
1673965656.459,103.0,-0.01904761904761905
